Document,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5
যোগাযোগ.txt,0.0,0.9998,0.0,0.0,0.0,0.0
ঘরে-বাইরে.txt,0.9998,0.0,0.0,0.0,0.0,0.0
বউ-ঠাকুরানীর হাট.txt,0.0,0.0,0.9997,0.0,0.0,0.0
রাজর্ষি.txt,0.0,0.0,0.0,0.0,0.9996,0.0
প্রজাপতির নির্বন্ধ.txt,0.0,0.0,0.0,0.9997,0.0,0.0
চিরকুমার-সভা.txt,0.0,0.0,0.0,0.9996,0.0,0.0
শেষের কবিতা.txt,0.6027,0.1461,0.0,0.2419,0.0,0.0
সে.txt,0.0,0.9995,0.0,0.0,0.0,0.0
গোড়ায় গলদ.txt,0.0,0.0,0.0,0.0,0.9993,0.0
চতুরঙ্গ.txt,0.0,0.0,0.0,0.0,0.9994,0.0
চার অধ্যায়.txt,0.0,0.3868,0.0,0.0,0.0,0.6127
শেষরক্ষা.txt,0.0,0.0,0.0,0.0,0.9992,0.0
তপতী.txt,0.0,0.0,0.0,0.0,0.9991,0.0
রাজা.txt,0.0,0.0,0.0,0.0,0.9991,0.0
নষ্টনীড়.txt,0.0,0.0,0.0,0.0,0.0,0.9992
দুই বোন.txt,0.9993,0.0,0.0,0.0,0.0,0.0
অচলায়তন.txt,0.0,0.0,0.0,0.9989,0.0,0.0
কাহিনী.txt,0.0,0.0,0.999,0.0,0.0,0.0
রক্তকরবী.txt,0.0,0.0,0.999,0.0,0.0,0.0
মালঞ্চ.txt,0.0,0.0,0.0,0.999,0.0,0.0
পরিত্রাণ.txt,0.0,0.0,0.0,0.0,0.0,0.9987
বাঁশরি.txt,0.1738,0.0,0.8255,0.0,0.0,0.0
ল্যাবরেটরি.txt,0.9991,0.0,0.0,0.0,0.0,0.0
শোধবোধ.txt,0.0,0.0,0.0,0.0,0.0,0.9987
রাসমণির ছেলে.txt,0.0,0.9989,0.0,0.0,0.0,0.0
